"Time","Type","SOM","Type/SEQ","length","data","LRC"
"178.4704","ACK =>","","","","",""
"181.62","=> EBLU Query","01","B5","02","FF B7","B7"
"181.6391","ACK <=","","","","",""
"181.643","<= EBLU Query Reply","01","67","02","7F E5","E5"
"181.6864","ACK =>","","","","",""
"184.8386","=> EBLU Query","01","B6","02","FF B4","B4"
"184.8546","ACK <=","","","","",""
"184.8643","<= EBLU Query Reply","01","68","02","7F EA","EA"
"184.9017","ACK =>","","","","",""
"188.0781","=> EBLU Query","01","B7","02","FF B5","B5"
"188.0905","ACK <=","","","","",""
"188.0986","<= EBLU Query Reply","01","69","02","7F EB","EB"
"188.1338","ACK =>","","","","",""
"190.5542","=> Static status query","01","18","02","00 E5","E5"
"190.5672","ACK <=","","","","",""
"190.5761","<= Static status reply","01","1A","05","03 12 0C 03 FE","FE"
"190.6137","ACK =>","","","","",""
"190.6896","=> Event 1 Status query","01","29","02","6F BB","BB"
"190.7039","ACK <=","","","","",""
"190.7135","<= Event 1 Status reply","01","2B","03","00 C0 17","17"
"190.7574","ACK =>","","","","",""
"190.833","=> change mode","01","AA","02","82 D5","D5"
"190.848","ACK <=","","","","",""
"190.9923","=> Set credit score maximum","01","5B","02","03 A5","A5"
"191.0083","ACK <=","","","","",""
"191.1521","=> Static status query","01","1C","02","00 E1","E1"
"191.1699","ACK <=","","","","",""
"191.1801","<= Static status reply","01","1C","05","03 12 0C 03 F8","F8"
"191.2214","ACK =>","","","","",""
"191.2466","=> Event 1 Status query","01","2D","02","6F BF","BF"
"191.2654","ACK <=","","","","",""
"191.2692","<= Event 1 Status reply","01","2D","03","00 C0 11","11"
"191.4204","ACK =>","","","","",""
"192.6063","=> Static status query","01","1E","02","00 E3","E3"
"192.6193","ACK <=","","","","",""
"192.6281","<= Static status reply","01","1E","05","03 12 0C 03 FA","FA"
"192.755","=> Event 1 Status query","01","2F","02","6F BD","BD"
"192.7676","ACK <=","","","","",""
"192.8351","<= Static status reply","01","1E","05","03 12 0C 03 FA","FA"
"192.9671","ACK =>","","","","",""
"192.971","<= Event 1 Status reply","01","2F","03","00 C0 13","13"
"192.9885","ACK =>","","","","",""
"193.0139","ACK =>","","","","",""
"193.0392","=> change mode","01","A0","02","81 DC","DC"
"193.0508","ACK <=","","","","",""
"193.0801","<= Event 1 Status reply","01","20","03","98 00 44","44"
"193.1252","ACK =>","","","","",""
"193.1296","<= Event 1 Status reply","01","21","03","80 00 5D","5D"
"193.1481","=> Static status query","01","11","02","00 EC","EC"
"193.1658","ACK <=","","","","",""
"193.3085","ACK =>","","","","",""
"193.3204","<= Static status reply","01","12","05","03 11 0C 03 F5","F5"
"193.34","=> Event 1 Status query","01","22","02","6F B0","B0"
"193.3584","ACK <=","","","","",""
"193.5003","ACK =>","","","","",""
"193.5125","<= Event 1 Status reply","01","23","03","98 00 47","47"
"193.5571","ACK =>","","","","",""
"193.561","<= Event 1 Status reply","01","24","03","18 00 C0","C0"
"193.5803","ACK =>","","","","",""
"193.6813","=> Static status query","01","13","02","00 EE","EE"
"193.696","ACK <=","","","","",""
"193.7059","<= Static status reply","01","15","05","03 08 31 0C 03","E2"
"193.7495","ACK =>","","","","",""
"193.8249","=> Event 1 Status query","01","24","02","6F B6","B6"
"193.8401","ACK <=","","","","",""
"193.8497","<= Event 1 Status reply","01","26","03","18 00 C2","C2"
"193.8933","ACK =>","","","","",""
"194.2211","=> Static status query","01","15","02","00 E8","E8"
"194.2405","ACK <=","","","","",""
"194.2507","<= Static status reply","01","17","05","03 08 31 0C 03","E0"
"194.2933","ACK =>","","","","",""
"194.3691","=> Event 1 Status query","01","26","02","6F B4","B4"
"194.3847","ACK <=","","","","",""
"194.3943","<= Event 1 Status reply","01","28","03","18 00 CC","CC"
"194.4374","ACK =>","","","","",""
"194.7905","=> Static status query","01","17","02","00 EA","EA"
"194.8031","ACK <=","","","","",""
"194.8126","<= Static status reply","01","19","05","03 08 31 0C 03","EE"
"194.8533","ACK =>","","","","",""
"194.9294","=> Event 1 Status query","01","28","02","6F BA","BA"
"194.9462","ACK <=","","","","",""
"194.9567","<= Event 1 Status reply","01","2A","03","18 00 CE","CE"
"194.9975","ACK =>","","","","",""
"195.3247","=> Static status query","01","19","02","00 E4","E4"
"195.3373","ACK <=","","","","",""
"195.3467","<= Static status reply","01","1B","05","03 08 31 0C 03","EC"
"195.4752","=> Event 1 Status query","01","2A","02","6F B8","B8"
"195.4932","ACK <=","","","","",""
"195.5554","<= Static status reply","01","1B","05","03 08 31 0C 03","EC"
"195.6831","ACK =>","","","","",""
"195.687","<= Event 1 Status reply","01","2C","03","18 00 C8","C8"
"195.708","ACK =>","","","","",""
"195.7332","ACK =>","","","","",""
"195.8594","=> Static status query","01","1B","02","00 E6","E6"
"195.8787","ACK <=","","","","",""
"195.8896","<= Static status reply","01","1D","05","03 08 31 0C 03","EA"
"196.0191","=> Event 1 Status query","01","2C","02","6F BE","BE"
"196.0388","ACK <=","","","","",""
"196.098","<= Static status reply","01","1D","05","03 08 31 0C 03","EA"
"196.227","ACK =>","","","","",""
"196.2313","<= Event 1 Status reply","01","2E","03","18 00 CA","CA"
"196.2519","ACK =>","","","","",""
"196.2772","ACK =>","","","","",""
"196.4034","=> Static status query","01","1D","02","00 E0","E0"
"196.4164","ACK <=","","","","",""
"196.4255","<= Static status reply","01","1F","05","03 08 31 0C 03","E8"
"196.4692","ACK =>","","","","",""
"196.5452","=> Event 1 Status query","01","2E","02","6F BC","BC"
"196.5577","ACK <=","","","","",""
"196.5663","<= Event 1 Status reply","01","20","03","18 00 C4","C4"
"196.7164","ACK =>","","","","",""
"196.9426","=> Static status query","01","1F","02","00 E2","E2"
"196.9569","ACK <=","","","","",""
"196.9667","<= Static status reply","01","11","05","03 08 31 0C 03","E6"
"197.013","ACK =>","","","","",""
"197.1392","=> Event 1 Status query","01","20","02","6F B2","B2"
"197.1517","ACK <=","","","","",""
"197.1603","<= Event 1 Status reply","01","22","03","18 00 C6","C6"
"197.2051","ACK =>","","","","",""
"197.5328","=> Static status query","01","11","02","00 EC","EC"
"197.551","ACK <=","","","","",""
"197.5613","<= Static status reply","01","13","05","03 08 31 0C 03","E4"
"197.6051","ACK =>","","","","",""
"197.6808","=> Event 1 Status query","01","22","02","6F B0","B0"
"197.6959","ACK <=","","","","",""
"197.7055","<= Event 1 Status reply","01","24","03","18 00 C0","C0"
"197.7488","ACK =>","","","","",""
"198.101","=> Static status query","01","13","02","00 EE","EE"
"198.1142","ACK <=","","","","",""
"198.1238","<= Static status reply","01","15","05","03 08 31 0C 03","E2"
"198.1652","ACK =>","","","","",""
"198.2156","=> Event 1 Status query","01","24","02","6F B6","B6"
"198.2282","ACK <=","","","","",""
"198.2368","<= Event 1 Status reply","01","26","03","18 00 C2","C2"
"198.2772","ACK =>","","","","",""
"198.6297","=> Static status query","01","15","02","00 E8","E8"
"198.6444","ACK <=","","","","",""
"198.6541","<= Static status reply","01","17","05","03 08 31 0C 03","E0"
"198.6932","ACK =>","","","","",""
"198.7689","=> Event 1 Status query","01","26","02","6F B4","B4"
"198.7878","ACK <=","","","","",""
"198.7982","<= Event 1 Status reply","01","28","03","18 00 CC","CC"
"198.8369","ACK =>","","","","",""
"199.165","=> Static status query","01","17","02","00 EA","EA"
"199.1779","ACK <=","","","","",""
"199.187","<= Static status reply","01","19","05","03 08 31 0C 03","EE"
"199.3151","=> Event 1 Status query","01","28","02","6F BA","BA"
"199.3341","ACK <=","","","","",""
"199.3969","<= Static status reply","01","19","05","03 08 31 0C 03","EE"
"199.5232","ACK =>","","","","",""
"199.5271","<= Event 1 Status reply","01","2A","03","18 00 CE","CE"
"199.5478","ACK =>","","","","",""
"199.5729","ACK =>","","","","",""
"199.724","=> Static status query","01","19","02","00 E4","E4"
"199.7377","ACK <=","","","","",""
"199.7474","<= Static status reply","01","1B","05","03 08 31 0C 03","EC"
"199.8748","=> Event 1 Status query","01","2A","02","6F B8","B8"
"199.8874","ACK <=","","","","",""
"199.9555","<= Static status reply","01","1B","05","03 08 31 0C 03","EC"
"200.0832","ACK =>","","","","",""
"200.087","<= Event 1 Status reply","01","2C","03","18 00 C8","C8"
"200.1076","ACK =>","","","","",""
"200.133","ACK =>","","","","",""
"200.2592","=> Static status query","01","1B","02","00 E6","E6"
"200.2718","ACK <=","","","","",""
"200.2812","<= Static status reply","01","1D","05","03 08 31 0C 03","EA"
"200.325","ACK =>","","","","",""
"200.804","=> Static status query","01","1C","02","00 E1","E1"
"200.817","ACK <=","","","","",""
"200.826","<= Static status reply","01","1E","05","03 08 31 0C 03","E9"
"200.8687","ACK =>","","","","",""
"200.9193","=> Event 1 Status query","01","2D","02","6F BF","BF"
"200.932","ACK <=","","","","",""
"200.9405","<= Event 1 Status reply","01","2F","03","18 00 CB","CB"
"200.9812","ACK =>","","","","",""
"201.3339","=> Static status query","01","1E","02","00 E3","E3"
"201.3468","ACK <=","","","","",""
"201.3559","<= Static status reply","01","10","05","03 08 31 0C 03","E7"
"201.3966","ACK =>","","","","",""
"201.4723","=> Event 1 Status query","01","2F","02","6F BD","BD"
"201.4885","ACK <=","","","","",""
"201.4983","<= Event 1 Status reply","01","21","03","18 00 C5","C5"
"201.5409","ACK =>","","","","",""
"201.8688","=> Static status query","01","10","02","00 ED","ED"
"201.8818","ACK <=","","","","",""
"201.8909","<= Static status reply","01","12","05","03 08 31 0C 03","E5"
"202.0229","=> Event 1 Status query","01","21","02","6F B3","B3"
"202.0351","ACK <=","","","","",""
"202.1072","<= Static status reply","01","12","05","03 08 31 0C 03","E5"
"202.1488","ACK =>","","","","",""
"202.1576","<= Event 1 Status reply","01","23","03","18 00 C7","C7"
"202.1969","ACK =>","","","","",""
"202.4238","=> Static status query","01","12","02","00 EF","EF"
"202.4371","ACK <=","","","","",""
"202.4467","<= Static status reply","01","14","05","03 08 31 0C 03","E3"
"202.4847","ACK =>","","","","",""
"202.5604","=> Event 1 Status query","01","23","02","6F B1","B1"
"202.58","ACK <=","","","","",""
"202.5837","<= Event 1 Status reply","01","25","03","18 00 C1","C1"
"202.6286","ACK =>","","","","",""
"202.9561","=> Static status query","01","14","02","00 E9","E9"
"202.9692","ACK <=","","","","",""
"202.9783","<= Static status reply","01","16","05","03 08 31 0C 03","E1"
"203.1071","=> Event 1 Status query","01","25","02","6F B7","B7"
"203.1264","ACK <=","","","","",""
"203.1894","<= Static status reply","01","16","05","03 08 31 0C 03","E1"
"203.2115","ACK =>","","","","",""
"203.2185","<= Event 1 Status reply","01","27","03","18 00 C3","C3"
"203.2275","ACK =>","","","","",""
"203.2528","ACK =>","","","","",""
"203.5047","=> Static status query","01","16","02","00 EB","EB"
"203.5175","ACK <=","","","","",""
"203.5269","<= Static status reply","01","18","05","03 08 31 0C 03","EF"
"203.5725","ACK =>","","","","",""
"203.6482","=> Event 1 Status query","01","27","02","6F B5","B5"
"203.6608","ACK <=","","","","",""
"203.6694","<= Event 1 Status reply","01","29","03","18 00 CD","CD"
"203.8199","ACK =>","","","","",""
"204.046","=> Static status query","01","18","02","00 E5","E5"
"204.0602","ACK <=","","","","",""
"204.0699","<= Static status reply","01","1A","05","03 08 31 0C 03","ED"
"204.1165","ACK =>","","","","",""
"204.167","=> Event 1 Status query","01","29","02","6F BB","BB"
"204.1796","ACK <=","","","","",""
"204.1882","<= Event 1 Status reply","01","2B","03","18 00 CF","CF"
"204.2288","ACK =>","","","","",""
"204.5815","=> Static status query","01","1A","02","00 E7","E7"
"204.5942","ACK <=","","","","",""
"204.6038","<= Static status reply","01","1C","05","03 08 31 0C 03","EB"
"204.6445","ACK =>","","","","",""
"204.7204","=> Event 1 Status query","01","2B","02","6F B9","B9"
"204.7348","ACK <=","","","","",""
"204.7445","<= Event 1 Status reply","01","2D","03","18 00 C9","C9"
"204.7885","ACK =>","","","","",""
"205.1154","=> Static status query","01","1C","02","00 E1","E1"
"205.1355","ACK <=","","","","",""
"205.1465","<= Static status reply","01","1E","05","03 08 31 0C 03","E9"
"205.1885","ACK =>","","","","",""
"205.264","=> Event 1 Status query","01","2D","02","6F BF","BF"
"205.2811","ACK <=","","","","",""
"205.2911","<= Event 1 Status reply","01","2F","03","18 00 CB","CB"
"205.3327","ACK =>","","","","",""
"205.6605","=> Static status query","01","1E","02","00 E3","E3"
"205.6735","ACK <=","","","","",""
"205.6825","<= Static status reply","01","10","05","03 08 31 0C 03","E7"
"205.811","=> Event 1 Status query","01","2F","02","6F BD","BD"
"205.8278","ACK <=","","","","",""
"205.8937","<= Static status reply","01","10","05","03 08 31 0C 03","E7"
"205.9154","ACK =>","","","","",""
"205.9193","<= Event 1 Status reply","01","21","03","18 00 C5","C5"
"205.9314","ACK =>","","","","",""
"205.9566","ACK =>","","","","",""
"206.2081","=> Static status query","01","10","02","00 ED","ED"
"206.2211","ACK <=","","","","",""
"206.2302","<= Static status reply","01","12","05","03 08 31 0C 03","E5"
"206.2767","ACK =>","","","","",""
"206.3522","=> Event 1 Status query","01","21","02","6F B3","B3"
"206.3648","ACK <=","","","","",""
"206.3733","<= Event 1 Status reply","01","23","03","18 00 C7","C7"
"206.5031","ACK =>","","","","",""
"206.7554","=> Static status query","01","12","02","00 EF","EF"
"206.7751","ACK <=","","","","",""
"206.7861","<= Static status reply","01","14","05","03 08 31 0C 03","E3"
"206.9149","=> Event 1 Status query","01","23","02","6F B1","B1"
"206.9275","ACK <=","","","","",""
"206.9945","<= Static status reply","01","14","05","03 08 31 0C 03","E3"
"207.1228","ACK =>","","","","",""
"207.1271","<= Event 1 Status reply","01","25","03","18 00 C1","C1"
"207.1472","ACK =>","","","","",""
"207.1724","ACK =>","","","","",""
"207.2983","=> Static status query","01","14","02","00 E9","E9"
"207.3109","ACK <=","","","","",""
"207.3203","<= Static status reply","01","16","05","03 08 31 0C 03","E1"
"207.3644","ACK =>","","","","",""
"207.8432","=> Static status query","01","15","02","00 E8","E8"
"207.8562","ACK <=","","","","",""
"207.8653","<= Static status reply","01","17","05","03 08 31 0C 03","E0"
"207.9084","ACK =>","","","","",""
"207.9592","=> Event 1 Status query","01","26","02","6F B4","B4"
"207.9718","ACK <=","","","","",""
"207.9804","<= Event 1 Status reply","01","28","03","18 00 CC","CC"
"208.0207","ACK =>","","","","",""
"208.3726","=> Static status query","01","17","02","00 EA","EA"
"208.3857","ACK <=","","","","",""
"208.3947","<= Static status reply","01","19","05","03 08 31 0C 03","EE"
"208.4365","ACK =>","","","","",""
"208.5124","=> Event 1 Status query","01","28","02","6F BA","BA"
"208.5281","ACK <=","","","","",""
"208.5378","<= Event 1 Status reply","01","2A","03","18 00 CE","CE"
"208.5805","ACK =>","","","","",""
"208.9331","=> Static status query","01","19","02","00 E4","E4"
"208.9464","ACK <=","","","","",""
"208.956","<= Static status reply","01","1B","05","03 08 31 0C 03","EC"
"208.9965","ACK =>","","","","",""
"209.0719","=> Event 1 Status query","01","2A","02","6F B8","B8"
"209.0901","ACK <=","","","","",""
"209.1002","<= Event 1 Status reply","01","2C","03","18 00 C8","C8"
"209.1403","ACK =>","","","","",""
"209.4675","=> Static status query","01","1B","02","00 E6","E6"
"209.4805","ACK <=","","","","",""
"209.4898","<= Static status reply","01","1D","05","03 08 31 0C 03","EA"
"209.6187","=> Event 1 Status query","01","2C","02","6F BE","BE"
"209.6365","ACK <=","","","","",""
"209.6989","<= Static status reply","01","1D","05","03 08 31 0C 03","EA"
"209.8267","ACK =>","","","","",""
"209.8306","<= Event 1 Status reply","01","2E","03","18 00 CA","CA"
"209.8511","ACK =>","","","","",""
"209.8764","ACK =>","","","","",""
"210.0275","=> Static status query","01","1D","02","00 E0","E0"
"210.0405","ACK <=","","","","",""
"210.0496","<= Static status reply","01","1F","05","03 08 31 0C 03","E8"
"210.1787","=> Event 1 Status query","01","2E","02","6F BC","BC"
"210.1982","ACK <=","","","","",""
"210.2612","<= Static status reply","01","1F","05","03 08 31 0C 03","E8"
"210.2829","ACK =>","","","","",""
"210.2901","<= Event 1 Status reply","01","20","03","18 00 C4","C4"
"210.2991","ACK =>","","","","",""
"210.3245","ACK =>","","","","",""
"210.576","=> Static status query","01","1F","02","00 E2","E2"
"210.5891","ACK <=","","","","",""
"210.5986","<= Static status reply","01","11","05","03 08 31 0C 03","E6"
"210.6442","ACK =>","","","","",""
"210.7199","=> Event 1 Status query","01","20","02","6F B2","B2"
"210.7325","ACK <=","","","","",""
"210.741","<= Event 1 Status reply","01","22","03","18 00 C6","C6"
"210.8919","ACK =>","","","","",""
"211.1432","=> Static status query","01","11","02","00 EC","EC"
"211.1625","ACK <=","","","","",""
"211.1669","<= Static status reply","01","13","05","03 08 31 0C 03","E4"
"211.2042","ACK =>","","","","",""
"211.2546","=> Event 1 Status query","01","22","02","6F B0","B0"
"211.2671","ACK <=","","","","",""
"211.2756","<= Event 1 Status reply","01","24","03","18 00 C0","C0"
"211.3162","ACK =>","","","","",""
"211.6684","=> Static status query","01","13","02","00 EE","EE"
"211.6814","ACK <=","","","","",""
"211.6904","<= Static status reply","01","15","05","03 08 31 0C 03","E2"
"211.7324","ACK =>","","","","",""
"211.8084","=> Event 1 Status query","01","24","02","6F B6","B6"
"211.8231","ACK <=","","","","",""
"211.8326","<= Event 1 Status reply","01","26","03","18 00 C2","C2"
"211.876","ACK =>","","","","",""
"212.2284","=> Static status query","01","15","02","00 E8","E8"
"212.2411","ACK <=","","","","",""
"212.2508","<= Static status reply","01","17","05","03 08 31 0C 03","E0"
"212.2921","ACK =>","","","","",""
"212.3679","=> Event 1 Status query","01","26","02","6F B4","B4"
"212.385","ACK <=","","","","",""
"212.3949","<= Event 1 Status reply","01","28","03","18 00 CC","CC"
"212.4361","ACK =>","","","","",""
"212.7882","=> Static status query","01","17","02","00 EA","EA"
"212.8035","ACK <=","","","","",""
"212.8134","<= Static status reply","01","19","05","03 08 31 0C 03","EE"
"212.8521","ACK =>","","","","",""
"212.9027","=> Event 1 Status query","01","28","02","6F BA","BA"
"212.9156","ACK <=","","","","",""
"212.925","<= Event 1 Status reply","01","2A","03","18 00 CE","CE"
"212.9641","ACK =>","","","","",""
"213.3191","=> Static status query","01","19","02","00 E4","E4"
"213.3339","ACK <=","","","","",""
"213.3437","<= Static status reply","01","1B","05","03 08 31 0C 03","EC"
"213.38","ACK =>","","","","",""
"213.4558","=> Event 1 Status query","01","2A","02","6F B8","B8"
"213.4683","ACK <=","","","","",""
"213.4768","<= Event 1 Status reply","01","2C","03","18 00 C8","C8"
"213.628","ACK =>","","","","",""
"213.8801","=> Static status query","01","1B","02","00 E6","E6"
"213.8966","ACK <=","","","","",""
"213.906","<= Static status reply","01","1D","05","03 08 31 0C 03","EA"
"214.0347","=> Event 1 Status query","01","2C","02","6F BE","BE"
"214.0474","ACK <=","","","","",""
"214.1144","<= Static status reply","01","1D","05","03 08 31 0C 03","EA"
"214.2429","ACK =>","","","","",""
"214.2473","<= Event 1 Status reply","01","2E","03","18 00 CA","CA"
"214.267","ACK =>","","","","",""
"214.2924","ACK =>","","","","",""
"214.4186","=> Static status query","01","1D","02","00 E0","E0"
"214.4311","ACK <=","","","","",""
"214.4405","<= Static status reply","01","1F","05","03 08 31 0C 03","E8"
"214.4843","ACK =>","","","","",""
"214.5599","=> Event 1 Status query","01","2E","02","6F BC","BC"
"214.5724","ACK <=","","","","",""
"214.581","<= Event 1 Status reply","01","20","03","18 00 C4","C4"
"214.7319","ACK =>","","","","",""

